report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
251,15/9-19 ST2,15_9_19_ST2_1992_12_21.pdf,2,1,00:00,1900,,1.07,estimated
252,15/9-19 ST2,15_9_19_ST2_1992_12_22.pdf,1,1,00:00,2357,,1.1,estimated
255,15/9-19 ST2,15_9_19_ST2_1992_12_25.pdf,2,1,00:00,3018,,1.04,estimated
256,15/9-19 ST2,15_9_19_ST2_1992_12_26.pdf,2,1,00:00,3018,,1.04,estimated
257,15/9-19 ST2,15_9_19_ST2_1992_12_27.pdf,2,1,00:00,3018,,1.04,estimated
258,15/9-19 ST2,15_9_19_ST2_1992_12_28.pdf,2,1,00:00,3018,,1.04,estimated
259,15/9-19 ST2,15_9_19_ST2_1992_12_29.pdf,2,1,00:00,3018,,1.04,estimated
260,15/9-19 ST2,15_9_19_ST2_1992_12_30.pdf,2,1,00:00,3018,,1.04,estimated
261,15/9-19 ST2,15_9_19_ST2_1992_12_31.pdf,2,1,00:00,2920,,1.2,estimated
261,15/9-19 ST2,15_9_19_ST2_1992_12_31.pdf,2,2,00:00,3050,,1.04,estimated
262,15/9-19 ST2,15_9_19_ST2_1993_01_01.pdf,2,1,00:00,2920,,1.2,estimated
262,15/9-19 ST2,15_9_19_ST2_1993_01_01.pdf,2,2,00:00,3052,,1.04,estimated
263,15/9-19 ST2,15_9_19_ST2_1993_01_02.pdf,2,1,00:00,2920,,1.2,estimated
263,15/9-19 ST2,15_9_19_ST2_1993_01_02.pdf,2,2,00:00,3052,,1.04,estimated
264,15/9-19 ST2,15_9_19_ST2_1993_01_03.pdf,2,1,00:00,2920,,1.2,estimated
264,15/9-19 ST2,15_9_19_ST2_1993_01_03.pdf,2,2,00:00,3137,,1.04,estimated
265,15/9-19 ST2,15_9_19_ST2_1993_01_04.pdf,2,1,00:00,2920,,1.2,estimated
265,15/9-19 ST2,15_9_19_ST2_1993_01_04.pdf,2,2,00:00,3141,,1.04,estimated
266,15/9-19 ST2,15_9_19_ST2_1993_01_05.pdf,2,1,00:00,2920,,1.2,estimated
266,15/9-19 ST2,15_9_19_ST2_1993_01_05.pdf,2,2,00:00,3168,,1.04,estimated
267,15/9-19 ST2,15_9_19_ST2_1993_01_06.pdf,2,1,00:00,2920,,1.2,estimated
267,15/9-19 ST2,15_9_19_ST2_1993_01_06.pdf,2,2,00:00,3204,,1.04,estimated
268,15/9-19 ST2,15_9_19_ST2_1993_01_07.pdf,2,1,00:00,2920,,1.2,estimated
268,15/9-19 ST2,15_9_19_ST2_1993_01_07.pdf,2,2,00:00,3215,,1.04,estimated
269,15/9-19 ST2,15_9_19_ST2_1993_01_08.pdf,2,1,00:00,2920,,1.2,estimated
269,15/9-19 ST2,15_9_19_ST2_1993_01_08.pdf,2,2,00:00,3321,,1.04,estimated
270,15/9-19 ST2,15_9_19_ST2_1993_01_09.pdf,2,1,00:00,2920,,1.2,estimated
270,15/9-19 ST2,15_9_19_ST2_1993_01_09.pdf,2,2,00:00,3436,,1.04,estimated
271,15/9-19 ST2,15_9_19_ST2_1993_01_10.pdf,2,1,00:00,2920,,1.2,estimated
271,15/9-19 ST2,15_9_19_ST2_1993_01_10.pdf,2,2,00:00,3562,,1.04,estimated
272,15/9-19 ST2,15_9_19_ST2_1993_01_11.pdf,2,1,00:00,2920,,1.2,estimated
272,15/9-19 ST2,15_9_19_ST2_1993_01_11.pdf,2,2,00:00,3580,,1.04,estimated
274,15/9-19 ST2,15_9_19_ST2_1993_01_13.pdf,2,1,00:00,2920,,1.2,estimated
274,15/9-19 ST2,15_9_19_ST2_1993_01_13.pdf,2,2,00:00,3580,,1.04,estimated
275,15/9-19 ST2,15_9_19_ST2_1993_01_14.pdf,2,1,00:00,2929,,1.2,estimated
275,15/9-19 ST2,15_9_19_ST2_1993_01_14.pdf,2,2,00:00,3580,,1.04,estimated
277,15/9-19 ST2,15_9_19_ST2_1993_01_16.pdf,2,1,00:00,2720,,1.23,estimated
277,15/9-19 ST2,15_9_19_ST2_1993_01_16.pdf,2,2,00:00,3580,,1.03,estimated
278,15/9-19 ST2,15_9_19_ST2_1993_01_17.pdf,2,1,00:00,2720,,1.23,estimated
278,15/9-19 ST2,15_9_19_ST2_1993_01_17.pdf,2,2,00:00,3580,,1.03,estimated
286,15/9-19 ST2,15_9_19_ST2_1993_01_25.pdf,2,1,00:00,2720,,1.23,estimated
286,15/9-19 ST2,15_9_19_ST2_1993_01_25.pdf,2,2,00:00,3580,,1.03,estimated
287,15/9-19 ST2,15_9_19_ST2_1993_01_26.pdf,2,1,00:00,2720,,1.23,estimated
287,15/9-19 ST2,15_9_19_ST2_1993_01_26.pdf,2,2,00:00,3580,,1.03,estimated
288,15/9-19 ST2,15_9_19_ST2_1993_01_27.pdf,2,1,00:00,2720,,1.23,estimated
288,15/9-19 ST2,15_9_19_ST2_1993_01_27.pdf,2,2,00:00,3580,,1.03,estimated
289,15/9-19 ST2,15_9_19_ST2_1993_01_28.pdf,2,1,00:00,2720,,1.23,estimated
289,15/9-19 ST2,15_9_19_ST2_1993_01_28.pdf,2,2,00:00,3580,,1.03,estimated
302,15/9-19 ST2,15_9_19_ST2_1993_02_26.pdf,2,1,00:00,3595,,1.04,estimated
303,15/9-19 ST2,15_9_19_ST2_1993_02_27.pdf,2,1,00:00,3643,,1.04,estimated
304,15/9-19 ST2,15_9_19_ST2_1993_02_28.pdf,2,1,00:00,3648,,1.04,estimated
306,15/9-19 ST2,15_9_19_ST2_1993_03_02.pdf,2,1,00:00,3825,,1.04,estimated
306,15/9-19 ST2,15_9_19_ST2_1993_03_02.pdf,2,2,00:00,3894,,1.3,estimated
307,15/9-19 ST2,15_9_19_ST2_1993_03_03.pdf,1,1,00:00,3955,,1.3,estimated
308,15/9-19 ST2,15_9_19_ST2_1993_03_04.pdf,2,1,00:00,3955,,1.3,estimated
309,15/9-19 ST2,15_9_19_ST2_1993_03_05.pdf,2,1,00:00,4107,,1.3,estimated
311,15/9-19 ST2,15_9_19_ST2_1993_03_07.pdf,2,1,00:00,4107,,1.3,estimated
311,15/9-19 ST2,15_9_19_ST2_1993_03_07.pdf,2,2,00:00,4338,,1.1,estimated
