operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
5179,08:00,13:00,7.0,interruption,repair,ok,"Troubleshoot SoundTrack tool. POOH to 7 m and plugged into OnTrack tool, verified software communication.",TRIP_OUT,"{""depths"": [""7 m""], ""equipment"": [""ontrack""], ""measurements"": [], ""time_refs"": []}","[""7 m""]","[""ontrack""]",[],[],603
5180,13:00,14:30,205.0,drilling,trip,ok,"P/U and M/U 8 1/2"" steerable BHA including 5 1/2"" HWDP to 205 m",CUT,"{""depths"": [""205 m""], ""equipment"": [""hwdp"", ""bha""], ""measurements"": [], ""time_refs"": []}","[""205 m""]","[""hwdp"", ""bha""]",[],[],603
5181,14:30,16:30,1010.0,drilling,trip,ok,"RIH 8 1/2"" steerable BHA on 5 1/2"" DP from 205 m to 1010 m.",TRIP_IN,"{""depths"": [""205 m"", ""1010 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""205 m"", ""1010 m""]","[""bha""]",[],[],603
5182,16:30,17:30,1010.0,drilling,trip,ok,Filled string with 1.28 sg OBM and shallow tested MWD tools.,CUT,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],603
5183,17:30,18:30,1537.0,drilling,trip,ok,"RIH 8 1/2"" steerable BHA on 5 1/2"" DP from 1010 m to 1537 m, filled string every 1000 m.",TRIP_IN,"{""depths"": [""1010 m"", ""1537 m"", ""1000 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""1010 m"", ""1537 m"", ""1000 m""]","[""bha""]",[],[],603
5184,18:30,23:00,2142.0,drilling,trip,ok,"RIH 8 1/2"" steerable BHA on 5 1/2"" DP singles from 1537 m to 2142 m, filled string every 1000 m.",TRIP_IN,"{""depths"": [""1537 m"", ""2142 m"", ""1000 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""1537 m"", ""2142 m"", ""1000 m""]","[""bha""]",[],[],603
5185,23:00,23:30,2142.0,drilling,other,ok,Removed auto slips and installed master bushing.,REPAIR,"{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],603
5186,23:30,00:00,2142.0,drilling,other,ok,Held TBT. Slipped and cut drill line.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],603
5187,00:00,04:00,2142.0,drilling,other,ok,Slipped and cut 44 m drill line.,CUT,"{""depths"": [""44 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""44 m""]",[],[],[],604
5188,04:00,05:00,2142.0,drilling,other,ok,Calibrated block hight and cleaned and cleared rig floor.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],604
